"Channel","Clinic","login_id","login time","logout time","ip","Lat Long"
"Muthoot","ECMT009 LAURIYA West Champaran","ecmt009","2025-07-21 09:16:24","2025-07-21 09:17:10","47.31.93.230","{""latitude"":""26.9925477"",""longitude"":""84.4065754""}"
"Muthoot","ECMT151 RANIGANJ MML ARARIA","ecmt151","2025-07-21 10:01:03","","117.96.151.189","{""latitude"":""26.0776333"",""longitude"":""87.2395917""}"
"Muthoot","ECMT151 RANIGANJ MML ARARIA","ecmt151","2025-07-21 09:26:51","2025-07-21 10:02:49","117.96.150.189",""
"Muthoot","ECMT151 RANIGANJ MML ARARIA","ecmt151","2025-07-21 09:34:02","2025-07-21 10:25:56","117.96.150.189","{""latitude"":""26.0776333"",""longitude"":""87.2395917""}"
"Muthoot","ECMT010 JHANJHARPUR Madhubani","ecmt010","2025-07-21 09:50:37","2025-07-21 10:24:45","117.96.149.39","{""latitude"":""26.2329751"",""longitude"":""86.2687088""}"
"Muthoot","ECMT010 JHANJHARPUR Madhubani","ecmt010","2025-07-21 10:01:04","2025-07-21 10:33:18","117.96.149.39","{""latitude"":""26.22924"",""longitude"":""86.2668049""}"
"Muthoot","ECMT010 JHANJHARPUR Madhubani","ecmt010","2025-07-21 11:56:22","","117.195.192.142","{""latitude"":""26.22924"",""longitude"":""86.2668049""}"
"Muthoot","ECMT152 KISHANGANJ MML KISHANGANJ","ecmt152","2025-07-21 11:16:02","2025-07-21 11:46:26","157.35.57.141",""
"Muthoot","ECMT011 Kottayam MML Kerala","ecmt011","2025-07-21 09:47:40","2025-07-21 10:18:00","111.92.100.44","{""latitude"":""9.5871101"",""longitude"":""76.5835779""}"
"Muthoot","ECMT011 Kottayam MML Kerala","ecmt011","2025-07-21 11:14:20","","111.92.100.44","{""latitude"":""9.5871101"",""longitude"":""76.5835779""}"
"Muthoot","ECMT011 Kottayam MML Kerala","ecmt011","2025-07-21 11:55:30","","111.92.100.44","{""latitude"":""9.5871101"",""longitude"":""76.5835779""}"
